Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File,Imputed,Actual Expenditure (UGX) - Original,Released Budget (UGX) - Original,Execution_Rate,Absorption_Rate
10,Agriculture,23/24,40856287.0,34727843950000.0,36362095430000.0,23.37449911,20.80330421076721,89.0,4494191570000.0,Satisfactorily Spent,174.79,"1619 Retooling of National Agricultural Research
Organization",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,3531551.0,3001818350000.0,3143080390000.0,2.020453687,1.798203781680874,89.0,388470610000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,463000.0,393550000000.0,412070000000.0,0.264889296,0.2357514731964071,89.0,50930000000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,10337.0,8786450000.0,9199930000.0,0.005913954,0.00526341895989473,89.0,1137070000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,1950000.0,1657500000000.0,1735500000000.0,1.115624464,0.9929057726414555,89.0,214500000000.0,Satisfactorily Spent,174.79,"o/w Subscription to International Agricultural research
organizations",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,1209126.0,1027757100000.0,1076122140000.0,0.691759254,0.6156657360260884,89.0,133003860000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,1084728.0,922018800000.0,965407920000.0,0.620589279,0.5523244579209337,89.0,119320080000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,40856287.0,34727843950000.0,36362095430000.0,23.37449911,20.80330421076721,89.0,4494191570000.0,Satisfactorily Spent,174.79,"1619 Retooling of National Agricultural Research
Organization",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,7719188.0,6561309800000.0,6870077320000.0,4.416264088,3.93047503861777,89.0,849110680000.0,Satisfactorily Spent,174.79,"1560 Relocation and Operationalisation of the National
Livestock Resources Research Institute(NALIRRI)",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,1552543.0,1319661550000.0,1381763270000.0,0.888233309,0.790527644602094,89.0,170779730000.0,Satisfactorily Spent,174.79,001 Production and Environment Statistics,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,6035491.0,5431941900000.0,5613006630000.0,3.452995595,3.211285903083701,93.0,422484370000.0,Satisfactorily Spent,174.79,003 Police Health Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,1693874.0,1439792900000.0,1507547860000.0,0.969090909,0.8624909090909091,89.0,186326140000.0,Satisfactorily Spent,174.79,011 Welfare and Production,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,110000.0,93500000000.0,97900000000.0,0.062932662,0.05601006922592826,89.0,12100000000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,12756833.0,11481149700000.0,11863854690000.0,7.298376909,6.787490525773785,93.0,892978310000.0,Satisfactorily Spent,174.79,001 Prisons Health Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,21662650.0,18413252500000.0,19279758500000.0,12.39352938,11.03024114651868,89.0,2382891500000.0,Satisfactorily Spent,174.79,"1395 The Maize seed & Cotton production project
under Uganda Prisons Service",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
13,Education,23/24,641013.0,564091440000.0,583321830000.0,0.366733223,0.3337272326792151,91.0,57691170000.0,Satisfactorily Spent,174.79,001 Offender Education and Training,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0340909090909092
10,Agriculture,23/24,14187124.0,12059055400000.0,12626540360000.0,8.116668002,7.223834521425711,89.0,1560583640000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,2329715.0,1980257750000.0,2073446350000.0,1.332865152,1.186249985697122,89.0,256268650000.0,Satisfactorily Spent,174.79,224003 Agricultural Supplies and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,21662650.0,18413252500000.0,19279758500000.0,12.39352938,11.03024114651868,89.0,2382891500000.0,Satisfactorily Spent,174.79,"1395 The Maize seed & Cotton production project
under Uganda Prisons Service",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
13,Education,23/24,421660.0,371060800000.0,383710600000.0,0.241238057,0.21952663195835,91.0,37949400000.0,Satisfactorily Spent,174.79,002 Legal Education and Public Affairs,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0340909090909092
14,Health,23/24,414511.0,373059900000.0,385495230000.0,0.237148006,0.2205476457463242,93.0,29015770000.0,Satisfactorily Spent,174.79,001 Family Health,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
13,Education,23/24,168000.0,147840000000.0,152880000000.0,0.096115338,0.08746495794953946,91.0,15120000000.0,Satisfactorily Spent,174.79,224008 Educational Materials and Services,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0340909090909092
10,Agriculture,23/24,677400.0,575790000000.0,602886000000.0,0.387550775,0.3449201899422163,89.0,74514000000.0,Satisfactorily Spent,174.79,"1754 Retooling of National Agricultural Advisory
Services Secretariat",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,4250000.0,3612500000000.0,3782500000000.0,2.431489216,2.164025401910865,89.0,467500000000.0,Satisfactorily Spent,174.79,"1754 Retooling of National Agricultural Advisory
Services Secretariat",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,8309020.0,7062667000000.0,7395027800000.0,4.753715888,4.230807139996568,89.0,913992200000.0,Satisfactorily Spent,174.79,"1754 Retooling of National Agricultural Advisory
Services Secretariat",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
