Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File
10,Agriculture,19/20,270.18,,,0.00020656,,,,,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,270.18,,,0.00020656,,,,,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
14,Health,19/20,0.34,,,2.6e-07,,,,,130.8,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.34,,,2.6e-07,,,,,130.8,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.34,,,2.6e-07,,,,,130.8,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.34,,,2.6e-07,,,,,130.8,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",ABPR%20FY%202019-20.pdf
14,Health,19/20,0.18,,,1.38e-07,,,,,130.8,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.18,,,1.38e-07,,,,,130.8,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.18,,,1.38e-07,,,,,130.8,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",ABPR%20FY%202019-20.pdf
14,Health,19/20,0.31,,,2.37e-07,,,,,130.8,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.31,,,2.37e-07,,,,,130.8,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,3.86,24.89,19.61,2.95e-06,1.5e-05,508.0310881,-15.75,Fully Spent,130.8,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,3.86,24.89,19.61,2.95e-06,1.5e-05,508.0310881,-15.75,Fully Spent,130.8,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,3.86,24.89,19.61,2.95e-06,1.5e-05,508.0310881,-15.75,Fully Spent,130.8,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,3.86,24.89,19.61,2.95e-06,1.5e-05,508.0310881,-15.75,Fully Spent,130.8,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.79,,,6.04e-07,,,,,130.8,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.79,,,6.04e-07,,,,,130.8,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,18.58,,,1.42e-05,,,,,130.8,Programme 0104 Fisheries Resources,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.61,,,4.66e-07,,,,,130.8,"09 Fisheries Resources Department
16 Directorate of Fisheries Resources
18 Department of Aquaculture Management and
Development
19 Department of Fisheries Control, Regulation and Quality
Assurance",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,8.24,,,6.3e-06,,,,,130.8,"1365 Support to Sustainable Fisheries Development Project
1494 Promoting commercial aquaculture in Uganda Project",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,48.44,,,3.7e-05,,,,,130.8,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,48.44,,,3.7e-05,,,,,130.8,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,48.44,,,3.7e-05,,,,,130.8,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.78,,,5.96e-07,,,,,130.8,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.78,,,5.96e-07,,,,,130.8,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,1.82,,,1.39e-06,,,,,130.8,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,1.82,,,1.39e-06,,,,,130.8,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,4.93,,,3.77e-06,,,,,130.8,"01 Headquarters
10 Department of Planning
13 Internal Audit
22 Agricultural Statistical Unit
25 Human Resource Management Department",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,10.47,,,8e-06,,,,,130.8,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,10.47,,,8e-06,,,,,130.8,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,246.91,,,0.000188769,,,,,130.8,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,246.91,,,0.000188769,,,,,130.8,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,246.91,,,0.000188769,,,,,130.8,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,2.46,,,1.88e-06,,,,,130.8,"Programme: 0104 Fisheries Resources 2.46 2.42 2.15 98.2% 87.5% 89.1%
Development Projects.
1494 Promoting commercial aquaculture in Uganda Project 2.46 2.42 2.15 98.2% 87.5% 89.1%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,21.91,,,1.68e-05,,,,,130.8,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,21.91,,,1.68e-05,,,,,130.8,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,8.94,,,6.83e-06,,,,,130.8,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,7.19,,,5.5e-06,,,,,130.8,0105 Urban Commercial and Production Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,7.19,,,5.5e-06,,,,,130.8,"Programme 0105 Urban Commercial and Production
Services",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,0.85,,,6.5e-07,,,,,130.8,13 Urban Commercial and Production Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,6.33,,,4.84e-06,,,,,130.8,0100 NAADS,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,5.18,,,3.96e-06,,,,,130.8,"01 Headquarters-NAGRC&DB
02 Dairy cattle
03 Beef cattle
04 Poultry
05 Small ruminants &non ruminants
06 Pasture and feeds
08 National Animal Data Bank
09 Fish breeding and production
10 Assisted Reproductive Technologies (ARTs)",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,25.58,,,1.96e-05,,,,,130.8,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,79.66,114.14,95.55,6.09e-05,7.31e-05,119.9472759,-15.89,Fully Spent,130.8,0151 Agricultural Research,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,79.66,114.14,95.55,6.09e-05,7.31e-05,119.9472759,-15.89,Fully Spent,130.8,Programme 0151 Agricultural Research,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,79.66,114.14,95.55,6.09e-05,7.31e-05,119.9472759,-15.89,Fully Spent,130.8,Programme 0151 Agricultural Research,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,35.07,,,2.68e-05,,,,,130.8,"01 Headquarters
07 National Crops Resources Research Institute",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,35.44,,,2.71e-05,,,,,130.8,"0382 Support for NARO
1560 Relocation and Operationalisation of the National
Livestock Resources Research Institute (NALIRRI)",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,145.89,318.61,317.89,0.000111537,0.000243035,217.8970457,-172.0,Fully Spent,130.8,Programme 0154 Agriculture Advisory Services,ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,100.91,,,7.71e-05,,,,,130.8,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,4.43,,,3.39e-06,,,,,130.8,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,94.78,,,7.25e-05,,,,,130.8,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
282101 Donations",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,939.36,,,0.000718165,,,,,130.8,"0301 Energy Planning,Management & Infrastructure
Dev't
0302 Large Hydro power infrastructure
0303 Petroleum Exploration, Development, Production,
Value Addition and Distribution and Petrolleum Products
0305 Mineral Exploration, Development & Value
Addition
0349 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,76.02,,,5.81e-05,,,,,130.8,"Programme 0303 Petroleum Exploration, Development,
Production, Value Addition and Distribution and
Petrolleum Products",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,2.05,,,1.57e-06,,,,,130.8,"04 Directorate of Petroleum
12 Petroleum Exploration, Development and Production
(Upstream) Department
13 Midstream Petroleum Department
14 Petroleum Supply (Downstream) Department",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,12.41,,,9.49e-06,,,,,130.8,"1184 Construction of Oil Refinery
1352 Midstream Petroleum Infrastructure Development
Project
1355 Strengthening the Development and Production Phases
of Oil and Gas Sector
1410 Skills for Oil and Gas Africa (SOGA)",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,4.51,,,3.45e-06,,,,,130.8,"Programme: 0303 Petroleum Exploration, Development, 4.51 4.51 4.51 100.0% 100.0% 100.0%
Production, Value Addition and Distribution and
Petrolleum Products
Development Projects.
1410 Skills for Oil and Gas Africa (SOGA) 4.51 4.51 4.51 100.0% 100.0% 100.0%",ABPR%20FY%202019-20.pdf
10,Agriculture,19/20,3.27,,,2.5e-06,,,,,130.8,"03 Petroleum Exploration
04 Development and Production
05 Refinery, Conversion, Transmission and Storage
06 Environmental and Data Management
07 Technical Support Services",ABPR%20FY%202019-20.pdf
13,Education,19/20,84.22,143.72,122.88,6.44e-05,9.39e-05,145.9035858,-38.66,Fully Spent,130.8,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
13,Education,19/20,84.22,143.72,122.88,6.44e-05,9.39e-05,145.9035858,-38.66,Fully Spent,130.8,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
13,Education,19/20,84.22,143.72,122.88,6.44e-05,9.39e-05,145.9035858,-38.66,Fully Spent,130.8,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf
13,Education,19/20,36.18,143.72,122.88,2.77e-05,9.39e-05,339.6351575,-86.7,Fully Spent,130.8,Programme 0701 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,36.18,143.72,122.88,2.77e-05,9.39e-05,339.6351575,-86.7,Fully Spent,130.8,Programme 0701 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,36.18,143.72,122.88,2.77e-05,9.39e-05,339.6351575,-86.7,Fully Spent,130.8,Programme 0701 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,36.18,143.72,122.88,2.77e-05,9.39e-05,339.6351575,-86.7,Fully Spent,130.8,Programme 0701 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf
13,Education,19/20,18.82,,,1.44e-05,,,,,130.8,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",ABPR%20FY%202019-20.pdf
13,Education,19/20,18.82,,,1.44e-05,,,,,130.8,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",ABPR%20FY%202019-20.pdf
13,Education,19/20,18.82,,,1.44e-05,,,,,130.8,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",ABPR%20FY%202019-20.pdf
13,Education,19/20,11.57,15.9,11.2,8.85e-06,8.56e-06,96.80207433,0.37,Fully Spent,130.8,Programme 0702 Secondary Education,ABPR%20FY%202019-20.pdf
